Ensembl ID;genes;Phase
ENSG00000086598;TMED2;S+G2M
ENSG00000164124;TMEM144;G2M
ENSG00000170006;TMEM154;S+G2M
ENSG00000249992;TMEM158;S
ENSG00000130748;TMEM160;G2M
ENSG00000152128;TMEM163;G1
ENSG00000127419;TMEM175;G2M
ENSG00000198792;TMEM184B;G2M
ENSG00000072954;TMEM38A;S
ENSG00000152078;TMEM56;G2M
ENSG00000151117;TMEM86A;G2M
ENSG00000167105;TMEM92;S
ENSG00000118503;TNFAIP3;G2M
ENSG00000127863;TNFRSF19;G1
ENSG00000145901;TNIP1;G2M
ENSG00000159173;TNNI1;G2M
ENSG00000160949;TONSL;G2M
ENSG00000184428;TOP1MT;G1
ENSG00000100038;TOP3B;G2M
ENSG00000186283;TOR3A;G2M
ENSG00000088325;TPX2;G2M
ENSG00000204104;TRAF3IP1;G2M
ENSG00000170893;TRH;G1
ENSG00000154370;TRIM11;G1
ENSG00000099899;TRMT2A;G1
ENSG00000011105;TSPAN9;G2M
ENSG00000068724;TTC7A;G2M
ENSG00000170703;TTLL6;G1
ENSG00000167614;TTYH1;G2M
ENSG00000198033;TUBA3C;G2M
ENSG00000152086;TUBA3E;G2M
ENSG00000104833;TUBB4A;G2M
ENSG00000176014;TUBB6;G2M
ENSG00000175106;TVP23C;G2M
ENSG00000161265;U2AF1L4;G1
ENSG00000063244;U2AF2;S
ENSG00000197355;UAP1L1;G2M
ENSG00000150991;UBC;G2M
ENSG00000177414;UBE2U;G2M
ENSG00000162191;UBXN1;G2M
ENSG00000154277;UCHL1;G2M
ENSG00000014123;UFL1;G2M
ENSG00000240224;UGT1A5;G1
ENSG00000168671;UGT3A2;G2M
ENSG00000107731;UNC5B;G1
ENSG00000182168;UNC5C;G2M
ENSG00000005007;UPF1;G2M
ENSG00000243566;UPK3B;G2M
ENSG00000101019;UQCC1;G2M
ENSG00000182040;USH1G;G2M
ENSG00000108651;UTP6;G2M
ENSG00000114812;VIPR1;G1
ENSG00000215305;VPS16;G2M
ENSG00000133316;WDR74;G2M
ENSG00000166483;WEE1;S
ENSG00000103175;WFDC1;G2M
ENSG00000168703;WFDC12;G2M
ENSG00000070540;WIPI1;G2M
ENSG00000168334;XIRP1;G2M
ENSG00000221947;XKR9;G2M
ENSG00000015532;XYLT2;G2M
ENSG00000137207;YIPF3;G2M
ENSG00000136758;YME1L1;G1
ENSG00000204366;ZBTB12;G2M
ENSG00000160446;ZDHHC12;S
ENSG00000175893;ZDHHC21;G2M
ENSG00000020256;ZFP64;G2M
ENSG00000186660;ZFP91;G1
ENSG00000096654;ZNF184;G1
ENSG00000165512;ZNF22;S
ENSG00000167380;ZNF226;G1
ENSG00000171295;ZNF440;S+G2M
ENSG00000124459;ZNF45;G1
ENSG00000124444;ZNF576;G2M
ENSG00000172748;ZNF596;G1
ENSG00000167528;ZNF641;G1
ENSG00000176083;ZNF683;G1
ENSG00000065029;ZNF76;G1
ENSG00000169951;ZNF764;G2M
ENSG00000176371;ZSCAN2;G2M
ENSG00000110200;ANAPC15;checkpoint
ENSG00000134982;APC;checkpoint
ENSG00000116017;ARID3A;checkpoint
ENSG00000115966;ATF2;checkpoint
ENSG00000149311;ATM;checkpoint
ENSG00000175054;ATR;checkpoint
ENSG00000164053;ATRIP;checkpoint
ENSG00000087586;AURKA;checkpoint
ENSG00000178999;AURKB;checkpoint
ENSG00000105393;BABAM1;checkpoint
ENSG00000087088;BAX;checkpoint
ENSG00000171552;BCL2L1;checkpoint
ENSG00000197299;BLM;checkpoint
ENSG00000012048;BRCA1;checkpoint
ENSG00000185515;BRCC3;checkpoint
ENSG00000158019;BRE;checkpoint
ENSG00000136492;BRIP1;checkpoint
ENSG00000160469;BRSK1;checkpoint
ENSG00000159388;BTG2;checkpoint
ENSG00000169679;BUB1;checkpoint
ENSG00000156970;BUB1B;checkpoint
ENSG00000154473;BUB3;checkpoint
ENSG00000161010;C5orf45;checkpoint
ENSG00000142453;CARM1;checkpoint
ENSG00000106144;CASP2;checkpoint
ENSG00000158941;CCAR2;checkpoint
ENSG00000134057;CCNB1;checkpoint
ENSG00000110092;CCND1;checkpoint
ENSG00000081377;CDC14B;checkpoint
ENSG00000158402;CDC25C;checkpoint
ENSG00000093009;CDC45;checkpoint
ENSG00000096401;CDC5L;checkpoint
ENSG00000094804;CDC6;checkpoint
ENSG00000170312;CDK1;checkpoint
ENSG00000123374;CDK2;checkpoint
ENSG00000136861;CDK5RAP2;checkpoint
ENSG00000108465;CDK5RAP3;checkpoint
ENSG00000124762;CDKN1A;checkpoint
ENSG00000111276;CDKN1B;checkpoint
ENSG00000147883;CDKN2B;checkpoint
ENSG00000167513;CDT1;checkpoint
ENSG00000117724;CENPF;checkpoint
ENSG00000151849;CENPJ;checkpoint
ENSG00000182923;CEP63;checkpoint
ENSG00000149554;CHEK1;checkpoint
ENSG00000183765;CHEK2;checkpoint
ENSG00000072609;CHFR;checkpoint
ENSG00000164695;CHMP4C;checkpoint
ENSG00000134852;CLOCK;checkpoint
ENSG00000092853;CLSPN;checkpoint
ENSG00000125107;CNOT1;checkpoint
ENSG00000182973;CNOT10;checkpoint
ENSG00000158435;CNOT11;checkpoint
ENSG00000111596;CNOT2;checkpoint
ENSG00000088038;CNOT3;checkpoint
ENSG00000080802;CNOT4;checkpoint
ENSG00000113300;CNOT6;checkpoint
ENSG00000138767;CNOT6L;checkpoint
ENSG00000198791;CNOT7;checkpoint
ENSG00000155508;CNOT8;checkpoint
ENSG00000169372;CRADD;checkpoint
ENSG00000008405;CRY1;checkpoint
ENSG00000139842;CUL4A;checkpoint
ENSG00000118655;DCLRE1B;checkpoint
ENSG00000198563;DDX39B;checkpoint
ENSG00000075711;DLG1;checkpoint
ENSG00000159147;DONSON;checkpoint
ENSG00000104885;DOT1L;checkpoint
ENSG00000143476;DTL;checkpoint
ENSG00000120129;DUSP1;checkpoint
ENSG00000144635;DYNC1LI1;checkpoint
ENSG00000101412;E2F1;checkpoint
ENSG00000205250;E2F4;checkpoint
ENSG00000165891;E2F7;checkpoint
ENSG00000129173;E2F8;checkpoint
ENSG00000128829;EIF2AK4;checkpoint
ENSG00000154920;EME1;checkpoint
ENSG00000197774;EME2;checkpoint
ENSG00000100393;EP300;checkpoint
ENSG00000143971;ETAA1;checkpoint
ENSG00000163322;FAM175A;checkpoint
ENSG00000140525;FANCI;checkpoint
ENSG00000103264;FBXO31;checkpoint
ENSG00000151876;FBXO4;checkpoint
ENSG00000116663;FBXO6;checkpoint
ENSG00000169018;FEM1B;checkpoint
ENSG00000053254;FOXN3;checkpoint
ENSG00000184481;FOXO4;checkpoint
ENSG00000105325;FZR1;checkpoint
ENSG00000116717;GADD45A;checkpoint
ENSG00000178295;GEN1;checkpoint
ENSG00000204120;GIGYF2;checkpoint
ENSG00000105373;GLTSCR2;checkpoint
ENSG00000104499;GML;checkpoint
ENSG00000075218;GTSE1;checkpoint
ENSG00000188486;H2AFX;checkpoint
ENSG00000172273;HINFP;checkpoint
ENSG00000149948;HMGA2;checkpoint
ENSG00000143452;HORMAD1;checkpoint
ENSG00000174775;HRAS;checkpoint
ENSG00000136273;HUS1;checkpoint
ENSG00000188996;HUS1B;checkpoint
ENSG00000113141;IK;checkpoint
ENSG00000143624;INTS3;checkpoint
ENSG00000143493;INTS7;checkpoint
ENSG00000099910;KLHL22;checkpoint
ENSG00000184445;KNTC1;checkpoint
ENSG00000205629;LCMT1;checkpoint
ENSG00000002822;MAD1L1;checkpoint
ENSG00000164109;MAD2L1;checkpoint
ENSG00000124688;MAD2L1BP;checkpoint
ENSG00000116670;MAD2L2;checkpoint
ENSG00000112062;MAPK14;checkpoint
ENSG00000137337;1,00 MDC;checkpoint
ENSG00000135679;MDM2;checkpoint
ENSG00000198625;MDM4;checkpoint
ENSG00000020922;MRE11A;checkpoint
ENSG00000095002;MSH2;checkpoint
ENSG00000185499;MUC1;checkpoint
ENSG00000172732;MUS81;checkpoint
ENSG00000173559;NABP1;checkpoint
ENSG00000139579;NABP2;checkpoint
ENSG00000159593;NAE1;checkpoint
ENSG00000104320;NBN;checkpoint
ENSG00000080986;NDC80;checkpoint
ENSG00000104419;NDRG1;checkpoint
ENSG00000114670;NEK11;checkpoint
ENSG00000181163;NPM1;checkpoint
ENSG00000037474;NSUN2;checkpoint
ENSG00000149716;ORAOV1;checkpoint
ENSG00000090097;PCBP4;checkpoint
ENSG00000126226;PCID2;checkpoint
ENSG00000132646;PCNA;checkpoint
ENSG00000162734;PEA15;checkpoint
ENSG00000177595;PIDD;checkpoint
ENSG00000118495;PLAGL1;checkpoint
ENSG00000166851;PLK1;checkpoint
ENSG00000145632;PLK2;checkpoint
ENSG00000173846;PLK3;checkpoint
ENSG00000140464;PML;checkpoint
ENSG00000204569;PPP1R10;checkpoint
ENSG00000143294;PRCC;checkpoint
ENSG00000126457;PRMT1;checkpoint
ENSG00000117707;PROX1;checkpoint
ENSG00000110107;PRPF19;checkpoint
ENSG00000128789;PSMG2;checkpoint
ENSG00000179295;PTPN11;checkpoint
ENSG00000113456;RAD1;checkpoint
ENSG00000152942;RAD17;checkpoint
ENSG00000172613;RAD9A;checkpoint
ENSG00000151164;RAD9B;checkpoint
ENSG00000139687;RB1;checkpoint
ENSG00000101773;RBBP8;checkpoint
ENSG00000103479;RBL2;checkpoint
ENSG00000168411;RFWD3;checkpoint
ENSG00000102760;RGCC;checkpoint
ENSG00000171792;RHNO1;checkpoint
ENSG00000135249;RINT1;checkpoint
ENSG00000136104;RNASEH2B;checkpoint
ENSG00000117748;RPA2;checkpoint
ENSG00000204086;RPA4;checkpoint
ENSG00000161970;RPL26;checkpoint
ENSG00000143947;RPS27A;checkpoint
ENSG00000185088;RPS27L;checkpoint
ENSG00000137154;RPS6;checkpoint
ENSG00000144580;RQCD1;checkpoint
ENSG00000170364;SETMAR;checkpoint
ENSG00000175793;SFN;checkpoint
ENSG00000176887;SOX11;checkpoint
ENSG00000124766;SOX4;checkpoint
ENSG00000040275;SPDL1;checkpoint
ENSG00000104375;STK3;checkpoint
ENSG00000101109;STK4;checkpoint
ENSG00000117614;SYF2;checkpoint
ENSG00000160551;TAOK1;checkpoint
ENSG00000149930;TAOK2;checkpoint
ENSG00000135090;TAOK3;checkpoint
ENSG00000121101;TEX14;checkpoint
ENSG00000198176;TFDP1;checkpoint
ENSG00000114126;TFDP2;checkpoint
ENSG00000105329;TGFB1;checkpoint
ENSG00000079134;THOC1;checkpoint
ENSG00000100296;THOC5;checkpoint
ENSG00000140534;TICRR;checkpoint
ENSG00000111602;TIMELESS;checkpoint
ENSG00000075131;TIPIN;checkpoint
ENSG00000143155;TIPRL;checkpoint
ENSG00000149115;TNKS1BP1;checkpoint
ENSG00000131747;TOP2A;checkpoint
ENSG00000077097;TOP2B;checkpoint
ENSG00000163781;TOPBP1;checkpoint
ENSG00000141510;TP53;checkpoint
ENSG00000067369;TP53BP1;checkpoint
ENSG00000073282;TP63;checkpoint
ENSG00000078900;TP73;checkpoint
ENSG00000047410;TPR;checkpoint
ENSG00000170855;TRIAP1;checkpoint
ENSG00000071539;TRIP13;checkpoint
ENSG00000112742;TTK;checkpoint
ENSG00000221983;UBA52;checkpoint
ENSG00000170315;UBB;checkpoint
ENSG00000150991;UBC;checkpoint
ENSG00000087206;UIMC1;checkpoint
ENSG00000223443;USP17L2;checkpoint
ENSG00000048028;USP28;checkpoint
ENSG00000136014;USP44;checkpoint
ENSG00000132612;VPS4A;checkpoint
ENSG00000095787;WAC;checkpoint
ENSG00000092470;WDR76;checkpoint
ENSG00000143816;WNT9A;checkpoint
ENSG00000154767;XPC;checkpoint
ENSG00000126215;XRCC3;checkpoint
ENSG00000166140;ZFYVE19;checkpoint
ENSG00000010244;ZNF207;checkpoint
ENSG00000161642;ZNF385A;checkpoint
ENSG00000198783;ZNF830;checkpoint
ENSG00000086827;ZW10;checkpoint
ENSG00000174442;ZWILCH;checkpoint
ENSG00000122952;ZWINT;checkpoint
